0, 0.0, 0.0, 0.0
10, 0.0, 1506.2747385445778, 0.0
20, 0.0, 5977.193767244928, 0.0
30, 2.5170649846912903, 9957.44234983623, 0.0
40, 5.079300429896247, 13337.575163915753, 60.69747518427175
50, 8.261940067604208, 16258.490781486034, 60.69755707945296
60, 12.560126814342713, 18776.1146158576, 60.6975571275907
70, 18.446689058695583, 20937.746042609215, 60.69755707945296
80, 26.547015436539816, 22789.125344753265, 60.6975571275907
90, 37.716397515024994, 24372.408432602882, 60.69755707945296
100, 53.12163508823937, 25725.186930298805, 60.6975571275907
110, 74.34181060551285, 26880.403471946716, 60.69755707945296
120, 103.48963581016315, 27866.57357430458, 60.6975571275907
130, 143.34760478138378, 28708.275836467743, 60.69755707945296
140, 197.50272333200587, 29426.589197158813, 60.6975571275907
150, 270.44771081117517, 30039.556809067726, 60.69755707945296
160, 367.5969757684753, 30562.59952569008, 60.6975571275907
170, 495.1497662526607, 31008.90045595169, 60.69755707945296
180, 659.7351698100108, 31389.71699166298, 60.6975571275907
190, 867.8087639295236, 31714.646415948868, 60.69755707945296
200, 1124.8484275986953, 31991.893002033234, 60.6975571275907
210, 1434.492884048664, 32228.45274233818, 60.69755707945296
220, 1797.8290742469844, 32430.29098367691, 60.6975571275907
230, 2213.1083363135385, 32602.514398097992, 60.69755707945296
240, 2675.717748542729, 32749.469403982162, 60.6975571275907
250, 3178.578976748973, 32874.85173821449, 60.69755707945296
260, 3712.9491041893707, 32981.82923579216, 60.6975571275907
270, 4269.355061923892, 33073.11004781723, 60.69755707945296
280, 4838.337723618832, 33150.99698758125, 60.6975571275907
290, 5411.026499408203, 33217.45190691948, 60.69755707945296
300, 5979.546670339179, 33274.14461731911, 60.6975571275907
310, 6537.236529849382, 33322.52994966507, 60.69755707945296
320, 7078.717867118801, 33363.81194138527, 60.6975571275907
330, 7599.854086820851, 33399.03775930405, 60.69755707945296
340, 8097.640528576623, 33429.08104419708, 60.6975571275907
350, 8570.06440902385, 33454.72890853882, 60.69755707945296
360, 9015.947342662548, 33476.60647392273, 60.6975571275907
370, 9434.793582615443, 33495.26924371719, 60.69755707945296
380, 9826.648222462973, 33511.1967420578, 60.6975571275907
390, 10191.97576754517, 33524.77028274536, 60.69755707945296
400, 10531.55361647834, 33536.39274740219, 60.6975571275907
410, 10846.384924200596, 33546.28937578201, 60.69755707945296
420, 11137.62444441556, 33554.74961543083, 60.6975571275907
430, 11406.523853050545, 33561.904519319534, 60.69755707945296
440, 11654.385841713054, 33568.08751177788, 60.6975571275907
450, 11882.527147659566, 33573.306913375854, 60.69755707945296
460, 12092.255920653697, 33577.78781270981, 60.6975571275907
470, 12284.850023777224, 33581.59507250786, 60.69755707945296
480, 12461.54349274002, 33584.8743724823, 60.6975571275907
490, 12623.516416145954, 33587.66743731499, 60.69755707945296
500, 12771.889416939579, 33590.0180747509, 60.6975571275907
510, 12907.720436110161, 33592.014086961746, 60.69755707945296
520, 13032.00160779804, 33593.71973609924, 60.6975571275907
530, 13145.661366996355, 33595.19387316704, 60.69755707945296
540, 13249.565470958129, 33596.41898417473, 60.6975571275907
550, 13344.515673731454, 33597.43531680107, 60.69755707945296
560, 13431.257525974885, 33598.26977729797, 60.6975571275907
570, 13510.477636750787, 33598.93552517891, 60.69755707945296
580, 13582.811554882675, 33599.46503305435, 60.6975571275907
590, 13648.843665832654, 33599.88719248772, 60.69755707945296
600, 13709.112119160593, 33600.22595310211, 60.6975571275907
610, 13764.11062466167, 33600.478063344955, 60.69755707945296
620, 13814.292413907126, 33600.697852134705, 60.6975571275907
630, 13860.074438750744, 33600.846378088, 60.69755707945296
640, 13901.837993932888, 33600.973417043686, 60.6975571275907
650, 13939.931226011366, 33601.05469274521, 60.69755707945296
660, 13974.674313973635, 33601.11701512337, 60.6975571275907
670, 14006.359408060089, 33601.1596827507, 60.69755707945296
680, 14035.25382900238, 33601.187517642975, 60.6975571275907
690, 14061.60210891068, 33601.196883678436, 60.69755707945296
700, 14085.626843383536, 33601.20050549507, 60.6975571275907
710, 14107.53282296285, 33601.20152282715, 60.69755707945296
720, 14127.505152769387, 33601.201531887054, 60.6975571275907
730, 14145.714254643768, 33601.2015004158, 60.69755707945296
740, 14162.31554562226, 33601.20152282715, 60.6975571275907
750, 14177.450309507549, 33601.201531887054, 60.69755707945296
760, 14191.248133745044, 33601.2015004158, 60.695614392760035
770, 14203.826888531446, 33601.20152282715, 60.6975571275907
780, 14215.293422248214, 33601.201531887054, 60.69755707945296
790, 14225.7464235425, 33601.2015004158, 60.6975571275907
800, 14235.275808796287, 33601.20152282715, 60.69755707945296
810, 14243.962204098701, 33601.201531887054, 60.6975571275907
820, 14251.880556158721, 33601.2015004158, 60.69755707945296
830, 14259.098380021751, 33601.20152282715, 60.6975571275907
840, 14265.67746591568, 33601.201531887054, 60.69755707945296
850, 14271.674694102257, 33601.2015004158, 60.6975571275907
860, 14277.14146278426, 33601.20152282715, 60.69755707945296
870, 14282.124979108572, 33601.201531887054, 60.6975571275907
880, 14286.667454726994, 33601.2015004158, 60.69755707945296
890, 14290.807525712997, 33601.20152282715, 60.6975571275907
900, 14294.58209630847, 33601.201531887054, 60.69755707945296
910, 14298.021772094071, 33601.2015004158, 60.6975571275907
920, 14301.157722663134, 33601.20152282715, 60.69755707945296
930, 14304.014693077654, 33601.201531887054, 60.6975571275907
940, 14306.621396344155, 33601.2015004158, 60.69755707945296
950, 14308.996289025992, 33601.20152282715, 60.6975571275907
960, 14311.16091832146, 33601.201531887054, 60.69755707945296
970, 14313.133875962347, 33601.2015004158, 60.6975571275907
980, 14314.932341560721, 33601.20152282715, 60.69755707945296
990, 14316.570836387575, 33601.201531887054, 60.6975571275907
1000, 14318.064136978239, 33601.2015004158, 60.69755707945296
